"NÚMERO","SECCIÓN","CAS.","DIFERENCIA ENTRE 1° Y  2° LUGAR","PAN","PRI","PRD","PVEM","PT","MC","MORENA","RSPD","PAN-PRI-PRD","PAN 
PRI","PAN 
PRD","PRI 
PRD","PVEM-PT-RSPD-MOR","PVEM 
PT 
MOR","PVEM 
PT 
RSPD","PVEM 
RSPD 
MOR","PVEM 
PT","PVEM 
MOR","PVEM 
RSPD","PT 
RSPD 
MOR","PT 
MOR","PT 
RSPD","RSPD 
MOR","VA POR DURANGO","JUNTOS HACEMOS HISTORIA","CAND. 
NO REG.","VOTOS 
NULOS","...32","LISTA NOMINAL","...34","...35","...36","...37","municipality","...25","...27","...28","...29","...30","...31","...33","CAND.  
INDEP.","PVEM 
RSPD 
MOR...21","PVEM 
RSPD 
MOR...25","...38","PARTIDO ACCIÓN NACIONAL","PARTIDO REVOLUCIONARIO INSTITUCIONAL","PARTIDO VERDE ECOLOGISTA DE MÉXICO","PARTIDO DEL TRABAJO","CANDIDATURA NO REGISTRADA","VOTOS NULOS","...12","...14","...26","PVEM 
PT 
RSP","PVEM 
RSP 
MOR","PVEM 
RSPD 
MOR...20","PVEM 
RSPD 
MOR...24"
"MUN 07",600,"3",281,54,404,12,1,11,86,190,7,11,13,0,3,1,0,0,0,1,1,1,0,0,0,3,497,216,1,13,813,1738,0.467779056386651,NA,497,216," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371",601,"B1",13,3,132,3,2,1,5,143,7,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,141,154,0,7,307,528,0.581439393939394,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372",601,"C1",48,4,108,8,2,0,2,164,5,1,2,0,2,1,0,0,0,0,0,0,0,1,0,0,125,173,1,5,306,528,0.579545454545455,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373",601,"C2",56,3,106,2,4,1,3,159,7,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,117,173,1,0,294,527,0.557874762808349,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",601,"3",117,10,346,13,8,2,10,466,19,4,7,1,2,1,2,0,0,0,1,0,0,1,0,0,383,500,2,12,907,1583,0.572962728995578,NA,500,383," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374",602,"B1",113,8,157,0,0,0,4,59,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,172,59,1,12,248,571,0.434325744308231,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",602,"1",113,8,157,0,0,0,4,59,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,172,59,1,12,248,571,0.434325744308231,NA,172,59," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375",603,"B1",3,13,131,2,2,0,4,142,6,8,2,0,0,1,1,0,0,0,0,0,0,0,0,1,156,153,0,2,315,694,0.453890489913545,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376",603,"C1",43,9,121,1,2,0,19,176,4,3,10,0,0,0,0,0,0,0,0,0,1,0,0,4,144,187,2,5,357,694,0.514409221902017,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377",603,"C2",69,15,92,2,2,2,7,174,4,2,8,0,0,4,1,0,0,0,0,0,0,0,0,1,119,188,1,8,323,693,0.466089466089466,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",603,"3",109,37,344,5,6,2,30,492,14,13,20,0,0,5,2,0,0,0,0,0,1,0,0,6,419,528,3,15,995,2081,0.478135511773186,NA,528,419," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378",604,"B1",9,9,97,2,2,0,3,107,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,110,119,0,4,236,468,0.504273504273504,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379",604,"C1",39,12,79,0,1,0,4,122,7,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,93,132,0,8,237,468,0.506410256410256,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380",605,"B1",17,6,95,3,2,1,7,86,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,109,92,3,7,218,737,0.295793758480326,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381",605,"C1",18,8,97,6,5,1,3,86,3,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,115,97,0,10,225,736,0.30570652173913,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382",605,"C2",45,8,107,5,1,0,3,73,2,1,0,0,3,0,0,1,0,0,2,0,0,0,0,0,124,79,1,5,212,736,0.28804347826087,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383",605,"C3",38,11,92,2,0,1,7,68,1,3,3,0,0,0,0,0,1,0,2,0,0,0,0,0,111,73,0,1,192,736,0.260869565217391,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",605,"C4",49,5,95,4,0,3,6,53,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,2,109,60,0,1,176,736,0.239130434782609,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385",605,"C5",32,10,94,3,3,2,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,75,4,4,195,736,0.264945652173913,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",605,"C6",28,18,93,1,3,3,2,78,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,115,87,4,3,211,736,0.286684782608696,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387",605,"C7",39,6,92,5,3,1,6,69,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,112,73,3,7,201,736,0.273097826086957,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388",605,"C8",33,12,92,2,2,0,6,69,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,109,76,1,0,192,736,0.260869565217391,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389",605,"C9",24,12,85,5,4,0,6,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,79,0,0,188,736,0.255434782608696,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",605,"12",275,117,1118,38,26,12,58,955,30,23,15,2,4,3,1,1,1,0,6,1,0,3,0,3,1317,1042,16,50,2483,8297,0.299264794504038,NA,1317,1042," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390",606,"B1",58,5,116,2,1,0,7,67,2,2,4,1,0,2,0,0,0,0,0,0,0,0,0,0,130,72,2,2,213,651,0.327188940092166,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391",606,"C1",39,6,102,2,2,1,3,73,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,115,76,1,5,200,651,0.307219662058372,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392",606,"C2",45,9,101,2,6,4,4,56,1,3,1,0,0,1,0,0,0,0,0,1,1,1,0,0,116,71,1,2,194,651,0.298003072196621,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393",606,"C3",26,4,92,2,1,2,9,73,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,103,77,1,4,194,651,0.298003072196621,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394",606,"C4",61,9,108,0,3,1,2,55,2,2,5,0,0,0,0,0,0,0,0,0,1,0,0,1,124,63,4,3,196,651,0.301075268817204,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",606,"5",229,33,519,8,13,8,25,324,5,11,15,1,1,3,0,0,0,0,1,1,2,1,0,1,588,359,9,16,997,3255,0.306298003072197,NA,588,359," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395",607,"B1",158,26,219,5,2,0,13,93,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,256,98,6,5,378,733,0.51568894952251,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396",607,"C1",133,21,202,7,2,1,7,96,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,99,3,12,353,733,0.481582537517053,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397",607,"C2",113,15,197,8,1,1,8,103,2,1,3,0,0,0,1,1,0,0,1,0,0,0,0,1,224,111,5,7,355,732,0.484972677595628,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",607,"3",404,62,618,20,5,2,28,292,4,6,6,0,0,1,1,1,0,0,1,0,0,0,0,1,712,308,14,24,1086,2198,0.494085532302093,NA,712,308," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398",608,"B1",37,9,147,4,5,1,3,111,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,162,125,4,7,301,642,0.468847352024922,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399",608,"C1",28,7,101,3,4,1,1,131,6,0,6,0,0,0,0,0,0,0,0,0,0,1,0,2,117,145,3,3,269,642,0.419003115264797,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400",608,"C2",20,8,114,1,6,1,5,141,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,1,130,150,3,4,292,642,0.454828660436137,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401",608,"C3",32,4,87,3,2,3,5,117,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,97,129,3,4,238,641,0.371294851794072,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",608,"4",43,28,449,11,17,6,14,500,19,3,14,0,1,0,0,1,0,0,0,0,0,1,0,5,506,549,13,18,1100,2567,0.428515777171796,NA,549,506," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402",609,"B1",13,9,100,0,0,0,8,92,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,2,112,99,4,1,224,488,0.459016393442623,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403",609,"C1",24,3,102,5,1,0,8,83,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,111,87,1,3,210,487,0.431211498973306,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",609,"2",37,12,202,5,1,0,16,175,4,1,3,0,0,1,1,0,0,0,0,0,0,0,0,4,223,186,5,4,434,975,0.445128205128205,NA,223,186," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404",610,"B1",10,18,89,1,2,1,6,96,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,111,101,2,9,229,440,0.520454545454546,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405",610,"C1",34,11,96,2,1,2,11,70,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,111,77,3,2,204,439,0.464692482915718,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",610,"2",44,29,185,3,3,3,17,166,5,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,222,178,5,11,433,879,0.492605233219568,NA,222,178," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406",611,"B1",92,20,187,8,0,2,4,122,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,219,127,0,6,356,740,0.481081081081081,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",611,"1",92,20,187,8,0,2,4,122,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,219,127,0,6,356,740,0.481081081081081,NA,219,127," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407",1416,"B1",75,8,124,6,2,0,2,68,1,7,2,1,1,0,1,1,0,0,0,0,0,0,0,1,149,74,0,2,227,648,0.350308641975309,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",1416,"1",75,8,124,6,2,0,2,68,1,7,2,1,1,0,1,1,0,0,0,0,0,0,0,1,149,74,0,2,227,648,0.350308641975309,NA,149,74," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408",1417,"B1",24,1,68,0,2,1,1,44,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,72,48,3,2,126,460,0.273913043478261,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409",1417,"C1",15,2,55,0,0,1,4,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,58,43,4,0,109,460,0.23695652173913,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",1417,"2",39,3,123,0,2,2,5,84,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,130,91,7,2,235,920,0.255434782608696,NA,130,91," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410",1418,"B1",36,11,89,1,1,1,8,65,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,104,68,1,2,183,464,0.394396551724138,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411",1418,"C1",21,6,66,0,5,0,6,85,1,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,74,95,0,7,182,463,0.393088552915767,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",1418,"2",15,17,155,1,6,1,14,150,1,3,2,0,0,3,0,0,0,0,0,0,0,2,0,0,178,163,1,9,365,927,0.393743257820928,NA,178,163," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412",1419,"B1",10,12,100,1,2,2,10,98,2,3,3,0,0,0,2,0,0,0,0,1,0,1,1,0,119,109,1,3,242,626,0.386581469648562,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",1419,"1",10,12,100,1,2,2,10,98,2,3,3,0,0,0,2,0,0,0,0,1,0,1,1,0,119,109,1,3,242,626,0.386581469648562,NA,119,109," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413",1420,"B1",6,9,93,4,1,0,4,93,2,0,2,0,0,1,0,0,0,1,0,0,1,3,0,0,108,102,2,2,218,666,0.327327327327327,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414",1420,"C1",7,5,68,3,1,0,9,82,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,78,85,2,5,179,666,0.268768768768769,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",1420,"2",1,14,161,7,2,0,13,175,2,1,3,0,0,1,0,0,0,1,0,0,1,4,0,1,186,187,4,7,397,1332,0.298048048048048,NA,187,186," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415",1421,"B1",0,7,62,2,1,3,12,69,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,73,0,9,167,426,0.392018779342723,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416",1421,"C1",25,12,74,2,2,3,18,59,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,65,2,4,179,426,0.42018779342723,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",1421,"2",25,19,136,4,3,6,30,128,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,163,138,2,13,346,852,0.406103286384977,NA,163,138," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417",1422,"B1",28,8,71,1,2,1,9,98,3,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,82,110,1,4,206,521,0.395393474088292,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",1422,"1",28,8,71,1,2,1,9,98,3,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,82,110,1,4,206,521,0.395393474088292,NA,110,82," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418",1423,"B1",2,19,52,3,2,1,8,75,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,78,4,3,169,388,0.435567010309278,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419",1423,"C1",31,23,64,2,0,4,11,59,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,94,63,2,1,171,388,0.440721649484536,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",1423,"2",29,42,116,5,2,5,19,134,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,170,141,6,4,340,776,0.438144329896907,NA,170,141," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420",1424,"B1",38,17,97,3,3,0,13,82,1,3,6,0,0,2,0,0,0,0,0,0,0,0,0,0,126,88,5,5,237,634,0.373817034700315,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",1424,"1",38,17,97,3,3,0,13,82,1,3,6,0,0,2,0,0,0,0,0,0,0,0,0,0,126,88,5,5,237,634,0.373817034700315,NA,126,88," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421",1425,"B1",7,7,93,1,1,3,12,93,1,2,4,0,0,0,1,0,0,0,0,0,1,0,0,0,107,100,1,1,221,532,0.415413533834586,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",1425,"1",7,7,93,1,1,3,12,93,1,2,4,0,0,0,1,0,0,0,0,0,1,0,0,0,107,100,1,1,221,532,0.415413533834586,NA,107,100," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422",1426,"B1",3,8,53,3,2,0,6,58,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,62,1,1,135,424,0.318396226415094,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423",1426,"C1",20,8,63,2,1,1,8,53,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,76,56,2,1,143,424,0.337264150943396,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",1426,"2",23,16,116,5,3,1,14,111,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,141,118,3,2,278,848,0.327830188679245,NA,141,118," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424",1427,"B1",67,23,140,3,2,1,11,98,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,2,172,105,8,3,299,635,0.470866141732283,NA,NA,NA," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 07",1427,"1",67,23,140,3,2,1,11,98,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,2,172,105,8,3,299,635,0.470866141732283,NA,172,105," GÓMEZ PALACIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
