CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,615,1,27,102,3,11,10,106,8,6,8,8,3,,0,292,9,301,598
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,616,2,91,181,6,24,10,263,26,24,12,20,4,,1,661,21,683,1275
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,617,2,61,134,2,17,6,151,19,14,9,10,5,,0,428,10,438,817
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,618,1,31,78,7,12,5,127,11,20,6,11,2,,0,310,11,321,749
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,619,1,49,55,7,9,2,77,7,6,8,7,1,,0,228,5,233,515
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,620,1,56,69,3,10,5,136,13,14,2,15,1,,1,324,7,332,651
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,621,2,56,74,3,10,6,159,8,7,7,13,3,,0,346,14,360,867
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,622,2,85,105,4,17,2,183,16,24,12,18,3,,2,469,18,489,997
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,623,1,66,81,13,7,7,170,8,16,12,9,0,,1,389,20,410,766
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,624,2,65,93,6,22,10,170,11,19,9,20,1,,1,426,16,443,919
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,625,1,64,47,8,6,2,134,8,14,6,8,2,,0,299,19,318,570
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,626,2,131,86,5,10,7,181,11,17,12,22,1,,0,483,22,505,953
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,627,2,133,88,12,10,6,220,12,16,10,23,7,,4,537,14,555,922
